,COD_TRAFO,CONSUMO,CONS_PROME,LATITUDE,LONGITUDE,EMPRESA,MES,ANO
214495,6466TR1,89500,102327,4.59888814,-74.17868683,2103,1,2018
214516,646TR1,69057,71720,4.60468533,-74.13546748,2103,1,2018
214837,647TR1,59676,71282,4.60514484,-74.13561186,2103,1,2018
215327,65000260,53856,54940,10.4755169,-73.2449858,2249,1,2018
215554,65000477,54393,60750,3.5,-76.4723995,536,1,2018
215589,65000505,77132,69361,3.49,-76.4820115,536,1,2018
215827,65000678,52800,50600,10.463134,-73.24762170000001,2249,1,2018
216040,65000858,65120,75530,10.4643304,-73.2561686,2249,1,2018
216131,65000962,82605,83910,10.464088199999999,-73.2482703,2249,1,2018
216171,65000991,72033,0,10.4739174,-73.2499103,2249,1,2018
216270,65001103,60521,31420,10.4745909,-73.2439326,2249,1,2018
216291,65001129,52026,58760,10.472080199999999,-73.24539190000002,2249,1,2018
216495,65001306,65731,45288,3.29,-76.29459399999999,536,1,2018
216743,65001564,54551,45670,10.474302900000001,-73.2761108,2249,1,2018
216838,65001639,53617,55449,3.68,-76.313062,536,1,2018
217733,65002360,79157,230,11.2361874,-74.1988233,2249,1,2018
217832,65002440,61980,58970,11.2353436,-74.1898572,2249,1,2018
218123,65002634,60478,62004,3.37,-76.41431,536,1,2018
218125,65002636,51584,49290,11.236273800000001,-74.2179231,2249,1,2018
218311,65002760,69822,45728,3.45,-76.4719255,536,1,2018
218403,65002825,52339,86190,11.2452781,-74.2118632,2249,1,2018
218524,65002927,53390,41850,11.2456977,-74.20094399999999,2249,1,2018
218683,65003078,60975,35710,11.222330300000001,-74.155187,2249,1,2018
218791,65003160,55466,2040,11.2341616,-74.1278191,2249,1,2018
218850,65003197,55056,59260,11.2237205,-74.19431800000001,2249,1,2018
219066,65003355,63526,43610,11.2057199,-74.22598509999999,2249,1,2018
219070,65003357,83850,48990,11.205975,-74.22522629999999,2249,1,2018
219397,65003566,56642,42076,3.53,-76.296041,536,1,2018
219413,65003578,54465,55169,3.53,-76.2988375,536,1,2018
219449,65003611,78121,85018,3.53,-76.301215,536,1,2018
219875,65003933,89626,2440,11.253679,-74.1622708,2249,1,2018
220238,65004264,52467,27560,11.2326936,-74.2071605,2249,1,2018
220283,65004300,57861,2050,11.2351492,-74.21011829999999,2249,1,2018
220347,65004357,52217,9570,11.001470300000001,-74.2527351,2249,1,2018
220602,65004568,63726,74476,3.42,-76.254171,536,1,2018
220657,65004613,56065,3730,10.9984235,-74.25032009999998,2249,1,2018
220717,65004664,74217,0,9.006352900000001,-73.9740346,2249,1,2018
220814,65004730,50361,50257,3.42,-76.242944,536,1,2018
220856,65004764,50032,0,10.5207546,-74.18530809999999,2249,1,2018
221158,65004976,60572,61540,3.26,-76.541146,536,1,2018
221192,65004999,53705,13010,3.26,-76.54028100000001,536,1,2018
221479,65005187,88215,91730,11.383051199999999,-72.24316970000001,2249,1,2018
221497,65005200,57836,16370,11.387813900000001,-72.23453590000001,2249,1,2018
221945,65005627,53393,1450,10.884967699999999,-72.85608719999999,2249,1,2018
222260,65005833,69798,60070,10.7758001,-73.0053298,2249,1,2018
222435,65005961,62412,79722,3.24,-76.5063641,536,1,2018
222558,65006048,62257,86820,3.51,-76.307573,536,1,2018
222676,65006164,62700,0,11.534841,-72.9183562,2249,1,2018
223212,65006557,50052,39604,3.55,-76.2926125,536,1,2018
223567,65006796,51354,21270,11.3766725,-72.259686,2249,1,2018
223575,65006800,71070,14250,11.3778905,-72.26308929999999,2249,1,2018
223713,65006901,64147,66606,3.53,-76.296728,536,1,2018
223762,65006929,58557,21010,10.8822127,-72.89226590000001,2249,1,2018
224154,65007199,67921,92785,3.61,-76.34036,536,1,2018
224453,65007406,54360,23838,3.55,-76.34470290000002,536,1,2018
224625,65007551,51480,0,10.407278100000001,-73.2391312,2249,1,2018
224736,65007658,62543,9160,10.657102499999999,-72.92942729999999,2249,1,2018
224821,65007709,53385,27525,3.4,-76.38701,536,1,2018
224822,65007709,52421,0,10.5556511,-73.0101775,2249,1,2018
225179,65008125,83265,34980,9.965198800000001,-73.8846195,2249,1,2018
225186,65008130,49866,38940,9.972917800000001,-73.8915709,2249,1,2018
225345,65008292,61307,0,10.1548342,-73.9641946,2249,1,2018
225609,65008616,91084,104515,3.85,-76.29829620000001,536,1,2018
225610,65008617,52517,60487,3.84,-76.3000968,536,1,2018
226549,65009341,88440,0,9.5594248,-73.3293046,2249,1,2018
226643,65009486,59568,54410,9.700164599999999,-73.281498,2249,1,2018
226823,65009760,55954,200,8.859090400000001,-73.8117627,2249,1,2018
226944,65009897,56782,170,9.6600215,-73.7505233,2249,1,2018
227731,65010871,54377,33300,9.1424674,-74.2244698,2249,1,2018
227818,65010953,76797,13840,11.271541000000001,-73.3077393,2249,1,2018
228142,65011277,87792,5170,11.257179800000001,-72.3707338,2249,1,2018
228364,65011437,84550,0,10.6159285,-75.1098552,2249,1,2018
228753,65011714,87913,3590,11.181746400000002,-72.61919240000002,2249,1,2018
229255,65012165,73988,0,10.4666133,-74.60722259999999,2249,1,2018
229368,65012260,54155,0,9.793411500000001,-74.7847448,2249,1,2018
229438,65012300,79539,1810,9.7927106,-74.77966509999999,2249,1,2018
229598,65012439,62843,82398,3.88,-76.322436,536,1,2018
229730,65012544,79730,84919,3.89,-76.300079,536,1,2018
229894,65012702,72236,65846,3.92,-76.2953936,536,1,2018
230142,65012903,66768,1280,11.376297099999999,-72.22387040000001,2249,1,2018
230456,65013113,75577,74839,3.88,-76.538453,536,1,2018
230674,65013315,54264,200,10.327662400000001,-74.95864159999999,2249,1,2018
231142,65013988,80330,25810,10.7704355,-74.1642157,2249,1,2018
232060,65014911,72660,29010,10.7741487,-74.18175740000001,2249,1,2018
232288,65015127,65120,0,9.7884633,-74.80685550000001,2249,1,2018
232292,65015130,53219,0,9.7947302,-74.8084446,2249,1,2018
232328,65015169,59941,67773,3.9,-76.30860899999999,536,1,2018
232364,65015200,57527,27100,9.8028864,-74.3916694,2249,1,2018
232543,65015525,74997,77701,3.37,-76.31021700000001,536,1,2018
232548,65015529,78025,87873,3.36,-76.3018555,536,1,2018
232552,65015536,68822,74440,3.41,-76.4195447,536,1,2018
232554,65015541,66390,101586,3.69,-76.32041629999999,536,1,2018
232615,65015597,67342,69910,3.26,-76.55705649999999,536,1,2018
232673,65015635,54228,30390,9.905152900000001,-74.1018499,2249,1,2018
232734,65015700,65136,63269,3.52,-76.4311835,536,1,2018
232759,65015726,64631,47179,3.5,-76.475014,536,1,2018
233281,65016635,60664,119945,4.17,-76.168642,536,1,2018
233809,65017679,90861,106,4.6,-76.1927079,536,1,2018
233975,65018191,52635,53216,4.33,-75.829871,536,1,2018
234309,65019020,53423,117769,4.41,-76.064785,536,1,2018
234791,6502,90151,94088,4.802473,-75.824404,2073,1,2018
235079,65020410,85787,76431,4.42,-76.15054909999999,536,1,2018
235638,65021379,50480,18587,4.21,-75.94266800000001,536,1,2018
236593,65022849,51120,71624,4.06,-76.198915,637,1,2018
236669,65022947,61547,33104,4.07,-76.23785500000001,637,1,2018
236706,65022998,59672,60175,4.08,-76.201138,637,1,2018
236715,65023008,51055,59146,4.08,-76.20015090000001,637,1,2018
236749,65023054,70631,68823,4.09,-76.201127,637,1,2018
237154,65023556,67634,52534,4.0,-76.25466899999999,637,1,2018
237470,65023953,65397,65489,4.09,-76.177853,637,1,2018
237499,65023994,53460,55440,4.08,-76.188417,637,1,2018
238475,65025257,53884,55171,3.89,-77.0726085,536,1,2018
238476,65025259,72682,77400,3.89,-77.073459,536,1,2018
238784,65025690,74910,73518,3.88,-77.0748215,536,1,2018
239489,65026704,59880,57360,3.89,-77.080104,536,1,2018
239605,65030138,78340,85731,3.53,-76.2793198,536,1,2018
239726,65030351,65932,65133,4.08,-76.20383170000001,637,1,2018
240122,65031438,69950,103801,3.5,-76.48020720000001,536,1,2018
240504,65033549,59400,72600,3.52,-76.3010635,536,1,2018
240644,65034167,62160,89068,4.53,-76.093975,536,1,2018
240789,65034528,66436,63982,3.9,-76.299379,536,1,2018
241201,65035289,74757,74873,3.22,-76.50135209999999,536,1,2018
241981,65036628,60703,63901,3.53,-76.2940363,536,1,2018
242107,65036855,61609,61628,3.26,-76.53847009999998,536,1,2018
242149,65036927,75765,94465,3.5,-76.4746402,536,1,2018
242387,65037311,55180,55225,4.08,-76.19981659999999,637,1,2018
242457,65037423,52315,57649,3.87,-76.9972031,536,1,2018
242564,650TR1,52614,48867,4.60784863,-74.13223256,2103,1,2018
242576,6511,53446,50850,4.856406,-73.06025600000001,500,1,2018
243019,65200820,66000,0,11.002002099999999,-74.81508620000001,2249,1,2018
243368,65201812,56343,42080,11.0174602,-74.8048623,2249,1,2018
243427,65201963,54774,12160,10.948209599999998,-74.8331734,2249,1,2018
243519,65202218,53419,43230,10.988980300000001,-74.7841709,2249,1,2018
243761,65203023,82720,0,11.018450699999999,-74.8734099,2249,1,2018
243817,65203185,51635,8310,10.9497938,-74.81446290000001,2249,1,2018
243820,65203207,52624,8620,10.9456735,-74.8098482,2249,1,2018
243864,65203344,59290,4320,10.9486672,-74.8276285,2249,1,2018
243897,65203542,57698,6380,10.9328304,-74.82766409999999,2249,1,2018
243901,65203606,72353,1400,10.9232901,-74.8257041,2249,1,2018
243904,65203622,86320,4540,10.926729400000001,-74.8217125,2249,1,2018
243906,65203624,54474,1020,10.9288989,-74.82272090000001,2249,1,2018
243908,65203626,62606,770,10.927356800000002,-74.8209153,2249,1,2018
243916,65203686,86388,920,10.9808194,-74.7739124,2249,1,2018
244062,65204157,67428,78820,10.924855800000001,-74.7591814,2249,1,2018
244265,65204827,80547,80980,10.9347513,-74.7854319,2249,1,2018
245189,65207287,51341,6660,10.902692300000002,-74.78461170000001,2249,1,2018
245578,65208320,61170,37600,10.9745799,-74.77833000000001,2249,1,2018
245609,65208409,57075,22320,10.964561699999999,-74.8251076,2249,1,2018
245642,65208491,50566,7250,10.9610838,-74.83010990000001,2249,1,2018
245971,65209500,54941,19440,10.978196800000001,-74.8166791,2249,1,2018
246007,65209562,57162,1420,10.8929159,-74.79175140000001,2249,1,2018
246533,65211043,51659,31240,10.9051151,-74.77673,2249,1,2018
246577,65211130,49910,10430,10.9239556,-74.81728309999998,2249,1,2018
246594,65211185,56795,880,10.9271183,-74.8181048,2249,1,2018
246615,65211241,78610,990,10.9285474,-74.8173294,2249,1,2018
246616,65211244,67309,6270,10.9293894,-74.81656729999999,2249,1,2018
246618,65211247,68808,1160,10.9306745,-74.81662740000002,2249,1,2018
246636,65211268,67962,310,10.933972,-74.8152342,2249,1,2018
246697,65211487,51972,40970,10.9421733,-74.8014811,2249,1,2018
246713,65211546,49968,25640,10.941006100000001,-74.8052749,2249,1,2018
246714,65211547,82859,16330,10.9393771,-74.80384790000001,2249,1,2018
247045,65212726,56068,1070,10.8933613,-74.7900985,2249,1,2018
247104,65212973,63873,55230,10.9824078,-74.7774071,2249,1,2018
