servicio,cod_empresa,empresa,centro_poblado,numero_pqrs,latitude,longitude
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,GALAPA,438,10.9191614915,-74.8703439389
ENERGIA,600,ELECTRIFICADORA DEL META S.A. E.S.P.,VILLAVICENCIO,429,4.1238593011,-73.624562528
GAS,2225,GAS NATURAL CUNDIBOYACENSE SA ESP,TUNJA,429,5.5399515492,-73.3554896602
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,EL ESPINAL,420,4.1513156087,-74.8854483928
ENERGIA,2103,CODENSA S.A. ESP,GIRARDOT,418,4.31307939531,-74.7977961492
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,MELGAR,418,4.20394596681,-74.6409314721
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,TIBU,398,8.63899279345,-72.7342132578
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAHAGUN,397,8.94312756605,-75.4459201696
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SABANALARGA,397,10.6328326108,-74.9210950072
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,EL TAMBO,389,2.45137293838,-76.8107676072
GAS,498,SURTIDORA DE GAS DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS ,SINCELEJO,387,9.30233021687,-75.395481772
ENERGIA,536,CELSIA COLOMBIA S.A. E.S.P.,JAMUNDI,378,3.25932906918,-76.5391224672
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,PIENDAMO,378,2.641987993,-76.5285068886
ENERGIA,2103,CODENSA S.A. ESP,GACHANCIPA,368,4.99091874874,-73.8734668101
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,BOLIVAR,368,1.83741330862,-76.966314876
ENERGIA,564,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,BELLO,357,6.33406558292,-75.5546673053
ENERGIA,2103,CODENSA S.A. ESP,CAJICA,344,4.92081005268,-74.0234537112
ENERGIA,500,EMPRESA DE ENERGIA DE BOYACA S.A. ESP EMPRESA DE SERVICIOS PUBLICOS,PUERTO BOYACA,344,5.97664715502,-74.5877827354
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,VILLA DEL ROSARIO,341,7.84748634411,-72.4700680064
ENERGIA,2103,CODENSA S.A. ESP,SOPO,338,4.91539965901,-73.9433295095
ENERGIA,2103,CODENSA S.A. ESP,NEMOCON,333,5.0687018248,-73.8778894768
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,COROZAL,329,9.31910061656,-75.2931493701
GAS,1887,EFIGAS GAS NATURAL S.A E.S.P ,PEREIRA,327,4.80532287092,-75.7190152322
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,LA JAGUA DE IBIRICO,323,9.56388783532,-73.3342269159
ENERGIA,2103,CODENSA S.A. ESP,FUSAGASUGA,321,4.33667468248,-74.3754601635
GAS,526,GAS NATURAL DEL ORIENTE SA ESP,BARRANCABERMEJA,319,7.06496573153,-73.8499567312
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,VALLE DE GAIRA,314,11.1729070837,-74.222529668
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,LOS PATIOS,300,7.83324937685,-72.5057141873
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL BANCO,294,9.0087359751,-73.9742847149
ENERGIA,2103,CODENSA S.A. ESP,COTA,289,4.81298461,-74.1027271672
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PLATO,289,9.79677054749,-74.784684214
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BOSCONIA,283,9.975094669,-73.888765758
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,TIMBIO,279,2.34997651977,-76.6842365775
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,CALDONO,278,2.79812829791,-76.4844459642
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,SAN SEBASTIAN DE MARIQUITA,277,5.19969320383,-74.8892907058
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,FONSECA,276,10.8866535788,-72.8462546857
ENERGIA,502,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,DOSQUEBRADAS,276,4.83402887527,-75.6761693197
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,CHAPARRAL,272,3.72306834875,-75.4807434103
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,GUAMO,271,4.03100475679,-74.9681289601
ENERGIA,3370,EMPRESA DE ENERGIA DE CASANARE SA ESP,YOPAL,268,5.32761201728,-72.3969155417
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CURUMANI,266,9.20181049336,-73.5409854392
ENERGIA,524,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,PIEDECUESTA,265,6.99735677431,-73.0545933904
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,MORALES,264,2.75455782584,-76.6292210027
ENERGIA,2438,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,YUMBO,259,3.54003276229,-76.4992290977
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,PAMPLONA,248,7.37284757284,-72.64768472
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,COYAIMA,247,3.79803620302,-75.193878839
GLP,6026,MONTAGAS S.A. EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS MONTAGAS SA E S P.,SAN JUAN DE PASTO,247,1.21245507293,-77.27877597
ENERGIA,523,EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,CALARCA,244,4.52148797904,-75.6455330683
GAS,1887,EFIGAS GAS NATURAL S.A E.S.P ,MANIZALES,241,5.05768733557,-75.4910467146
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,LA GLORIA,237,8.61929805971,-73.8032098836
ENERGIA,536,CELSIA COLOMBIA S.A. E.S.P.,GUADALAJARA DE BUGA,236,3.90082284434,-76.2989614887
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,EL ZULIA,234,7.93817417215,-72.6046120661
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,TOTORO,233,2.51025062018,-76.4036268299
ENERGIA,523,EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,CIRCASIA,228,4.61779473259,-75.6365262734
ENERGIA,524,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,FLORIDABLANCA,219,7.07236450273,-73.0990307075
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,EL BORDO,219,2.11566829044,-76.9809793181
GAS,1887,EFIGAS GAS NATURAL S.A E.S.P ,ARMENIA,217,4.535987208,-75.6807545438
ENERGIA,2016,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,MOCOA,212,1.1525800991,-76.6515068624
